INVOICE NUMBER,LOCATION,TICKET #,WORK ORDER #
63606-1/1,3002 HALLENTON CT,,276116
63606-2/1,3003 HALLETON COURT,56116515,275857
63606-3/1,3004 WEDGEWOOD COVE WAY,,275788
63606-4/1,3006 HALLETON COURT,56116970,276212
63606-5/1,3006 WEDGEWOOD COVE WAY,56116417,275151
63606-6/1,3007 HONEYGUIDE COURT,56116866,276195
63606-7/1,3009 HALLETON COURT,56117197,276536
63606-8/1,3011 HONEYGUIDE COURT,56116877,276175
63606-9/1,3014 HONEY GUIDE COURT,56116798,276086
63606-10/1,3015 HONEY GUIDE COURT,,276147
63606-11/1,3016 DELANCEY BEND WAY,,276511
63606-12/1,3018 KENDRICK SPRING LANE,56117148,276509
63606-13/1,3020 DELANCEY BEND WAY,56116580,275915
63606-14/1,3020 KENDRICK SPRING LN,56117154,276510
63606-15/1,3024 KENDRICK SPRINGS LN,56116120,274650
63606-16/1,3035 MARBLE RISE TRAIL,56117624,276912
63606-17/1,3036 MARBLE RISE TRAILS,,276132
63606-18/1,3041 MARBLE RISE TRAILS,,276110
63606-19/1,3206 WYNDHAM FALLS CT,,276779
63606-20/1,3207 WYNDHAM FALLS COURT,56116129,276774
63606-21/1,3216 FLORAL GARDEN LN,56117329,276645
63606-22/1,3226 BELLWICK CHASE LANE,,275699
63606-23/1,3232 FLORAL GARDEN LN,56117312,276623
63606-24/1,3256 FLORAL GARDEN LN,56117093,275821
63606-25/1,3302 SKYLARK VALLEY TRACE,56116732,276034
63606-26/1,3303 DOVETAIL HOLLOW LN,56116823,276109
63606-27/1,3303 PLEASANT HOLLOW LN,56117330,276655
63606-29/1,3306 ALLENDALE PARK CT,,276131
63606-28/1,3306 PLEASANT HOLLOW LN,56117074,276484
63606-30/1,3307 ASHBERRY FALLS LN,56117605,276878
63606-31/1,3311 DOVETAIL HOLLOW LN,56117655,276946
63606-32/1,3314 ROYAL FALLS CT,,276787
63606-33/1,3318 STERLING BREEZE LN,,276653
63606-34/1,3322 LOCKRIDGE HARBOR LN,56116696,275995
63606-35/1,3326 BELLWICK CHASE LANE,56116353,275696
63606-36/1,3338 ALLENDALE PARK COURT,56116787,276067
63606-37/1,3342 ALLENDALE PARK COURT,56116787,276775
63606-38/1,3511 GALWAY GLEN TRAIL,56116551,276173
63606-39/1,3514 VERIDIAN SHADOW CT,56116543,275881
63606-40/1,3515 GALWAY GLEN TRAIL,56116480,275837
63606-41/1,4004 ERLINGTON BEND TRACE,56117412,276704
63606-42/1,4201 WATERLILY SPRING WAY,56117656,276953
63606-43/1,4261 WATERLILY SPRING WAY,56117091,275709
63606-44/1,4280 WATERLILY SPRING WAY,56116401,275794
63606-45/1,5004 ROBIN PARK COURT,56116996,276265
63606-46/2,5007 ROBIN PARK,56116158,275686
63606-47/1,5011 ROBIN PARK COURT,56116258,276772
63606-48/1,5039 ROBIN PARK COURT,56117007,276302
63606-49/1,5130 ANDORRA BEND LN,56116145,275641
63606-51/1,5146 ANDORRA BEND LN,56116118,275624
63606-52/1,5502 FULVETTA PARK TR,56116351,275767
63606-53/1,5727 WILLOW PARK TERRACE LANE,56117114,276492
63606-54/1,5730 WILLOW PARK TERRACE LN,56117185,276454
63606-55/1,5802 WILLOW PARK TERRACE LN,56117502,276446
63606-56/1,5810 MAJESTIC HARBOR LANE,,276563
63606-58/1,5907 FAIRWAY SHORES LN,56116509,275850
63606-59/1,6003 FAIRWAY SHORES LN,56116777,276108
63606-60/1,6005 WINDWARD FALL WAY,56117145,276506
63606-62/1,6006 FAIRWAY SHORES LN,56117527,276838
63606-61/1,6006 GRANITE SHADOW LN ,56117067,276497
63606-63/1,6007 FAIRWAY SHORES LN,56116777,276058
63606-64/1,6018 FAIRWAY SHORES LN,56116778,276059
63606-65/1,6027 GRANITE SHADOW LN,56117387,276670
63606-66/1,6039 GRANITE SHADOWS LN,56116406,275804
63606-67/1,6040 WINDWARD FALLS WAY,56116730,276024
63606-68/1,6067 WINDWARD FALLS WAY,56117491,276795
63606-69/1,6127 EMERALD BAY POINT LN,56116574,276019
63606-70/1,6203 ARCADIA SOUND LN,56117596,276879
63606-71/1,6203 EMERALD BAY POINT LN,56116595,275900
63606-72/1,6207 RUSSETT ELM CT,56116821,276119
63606-73/1,6209 RUSSETT ELM CT,56117161,276516
63606-74/1,6215 RUSSETT ELM CT,56117201,276598
63606-75/1,6217 RUSSETT ELM CT,56117125,276498
63606-76/1,6219 RUSSETT ELM CT,56117164,276518
63606-77/1,6222 ARCADIA OUND LANE,56117146,276508
63606-78/1,6224 ARCADIA SOUND ANE,56117182,276532
63606-79/1,6225 ARCADIA SOUND,56116402,275795
63606-80/1,6227 EMERALD BAY POINT LN,56116792,276074
63606-81/1,6308 ASTORIA PARK LANE,56115962,275567
63606-82/1,6326 ASTORIA PARK LANE,56117293,276600
63606-83/1,6332 ASTORIA PARK LANE,56116803,276094
63606-84/1,9303 DARBY KNOLL WAY,56116473,275836
63606-85/1,9307 CLEARWATER BLUFF LANE,56117311,
63606-86/1,9310 VICTORIA VALLEY COURT,56116471,275866
63606-87/1,9314 DARBY KNOLL WAY,56116358,275770
63606-88/1,9314 VICTORIA VALLEY CT,56116358,275810
63606-89/1,9315 DARBY KNOLL WAY,56116543,275841
63606-91/1,9318 DARBY KNOLL WAY,56116359,275771
63606-90/1,9318 VICTORIA VALLEY COURT,56116426,275889
63606-92/1,9322 VICTORIA VALLEY COURT,56116472,275833
63606-93/1,9326 VICTORIA VALLEY COURT,56116543,275808
63606-94/1,9330 VICTORIA VALLEY COURT,56116482,275840
63606-95/1,9331 DARBY KNOLL WAY,56116504,275848
63606-96/1,9402 PELICAN CLIFF COURT,,275918
